oscar_no,Year,Gender,Name,Movie,Age,Birthplace,Birth Year,birth_mo,birth_d,birth_y
83,2011,Female,Natalie Portman,Black Swan,29,Israel,9/6/1981,9,6,1981
84,2012,Female,Meryl Streep,The Iron Lady,62,New Jersey,6/22/1949,6,22,1949
1,1929,Male,Emil Jannings,The Way of All Flesh & The Las,44,Switzerland,1884-07-23,7,23,1884
2,1930,Male,Warner Baxter,In Old Arizona,40,Ohio,1889-03-29,3,29,1889
3,1931,Male,George Arliss,Disraeli,62,England,1868-04-10,4,10,1868
4,1932,Male,Lionel Barrymore,A Free Soul,53,Pennsylvania,1878-04-28,4,28,1878
5,1933,Male,Fredric March,Dr. Jekyll and Mr. Hyde,35,Wisconsin,1897-08-31,8,31,1897
5,1933,Male,Wallace Beery,The Champ,47,Missouri,1885-04-01,4,1,1885
6,1934,Male,Charles Laughton,The Private Life of Henry VIII,34,England,1899-07-01,7,1,1899
7,1935,Male,Clark Gable,It Happened One Night,33,Ohio,2/1/1901,2,1,1901
8,1936,Male,Victor McLaglen,The Informer,52,England,1883-12-11,12,11,1883
9,1937,Male,Paul Muni,The Story of Louis Pasteur,41,Poland,1895-09-22,9,22,1895
10,1938,Male,Spencer Tracy,Captains Courageous,37,Wisconsin,4/5/1900,4,5,1900
11,1939,Male,Spencer Tracy,Boys Town,38,Wisconsin,4/5/1900,4,5,1900
12,1940,Male,Robert Donat,"Goodbye, Mr. Chips",34,England,3/18/1905,3,18,1905
13,1941,Male,James Stewart,The Philadelphia Story,32,Pennsylvania,5/20/1908,5,20,1908
14,1942,Male,Gary Cooper,Sergeant York,40,Montana,5/7/1901,5,7,1901
15,1943,Male,James Cagney,Yankee Doodle Dandy,43,New York,1899-07-17,7,17,1899
16,1944,Male,Paul Lukas,Watch on the Rhine,48,Hungary,1895-05-26,5,26,1895
17,1945,Male,Bing Crosby,Going My Way,41,Washington,5/3/1903,5,3,1903
18,1946,Male,Ray Milland,The Lost Weekend,40,Wales,1/3/1905,1,3,1905
19,1947,Male,Fredric March,The Best Years of Our Lives,49,Wisconsin,1897-08-31,8,31,1897
20,1948,Male,Ronald Colman,A Double Life,56,England,1891-02-09,2,9,1891
21,1949,Male,Laurence Olivier,Hamlet,41,England,5/22/1907,5,22,1907
22,1950,Male,Broderick Crawford,All the King's Men,38,Pennsylvania,12/9/1911,12,9,1911
23,1951,Male,Jose Ferrer,Cyrano de Bergerac,41,Puerto Rico,1/8/1909,1,8,1909
24,1952,Male,Humphrey Bogart,The African Queen,52,New York,1899-12-25,12,25,1899
25,1953,Male,Gary Cooper,High Noon,51,Montana,5/7/1901,5,7,1901
26,1954,Male,William Holden,Stalag 17,35,Illinois,4/17/1918,4,17,1918
27,1955,Male,Marlon Brando,On The Waterfront,30,Nebraska,4/3/1924,4,3,1924
28,1956,Male,Ernest Borgnine,Marty,38,Connecticut,1/24/1917,1,24,1917
29,1957,Male,Yul Brynner,The King and I,41,Russia,7/7/1915,7,7,1915
30,1958,Male,Alec Guinness,The Bridge On The River Kwai,43,England,4/2/1914,4,2,1914
31,1959,Male,David Niven,Separate Tables,48,Wales,3/1/1910,3,1,1910
32,1960,Male,Charlton Heston,Ben-Hur,36,Illinois,10/4/1923,10,4,1923
33,1961,Male,Burt Lancaster,Elmer Gantry,47,New York,11/2/1913,11,2,1913
34,1962,Male,Maximilian Schell,Judgment at Nuremburg,31,Austria,12/8/1930,12,8,1930
35,1963,Male,Gregory Peck,To Kill a Mockingbird,46,California,4/5/1916,4,5,1916
36,1964,Male,Sidney Poitier,Lilies of the Field,36,Florida,2/20/1927,2,20,1927
37,1965,Male,Rex Harrison,My Fair Lady,56,England,3/5/1908,3,5,1908
38,1966,Male,Lee Marvin,Cat Ballou,41,New York,2/19/1924,2,19,1924
39,1967,Male,Paul Scofield,A Man for All Seasons,44,England,1/21/1922,1,21,1922
40,1968,Male,Rod Steiger,In the Heat of the Night,42,New York,4/14/1925,4,14,1925
41,1969,Male,Cliff Robertson,Charly,43,California,9/9/1925,9,9,1925
42,1970,Male,John Wayne,True Grit,62,Iowa,5/26/1907,5,26,1907
43,1971,Male,George C. Scott,Patton,43,Virginia,10/18/1927,10,18,1927
44,1972,Male,Gene Hackman,The French Connection,41,California,1/30/1930,1,30,1930
45,1973,Male,Marlon Brando,The Godfather,48,Nebraska,4/3/1924,4,3,1924
46,1974,Male,Jack Lemmon,Save the Tiger,48,Massachusetts,2/8/1925,2,8,1925
47,1975,Male,Art Carney,Harry and Tonto,56,New York,11/4/1918,11,4,1918
48,1976,Male,Jack Nicholson,One Flew Over The Cuckoo's Nes,38,New York,4/22/1937,4,22,1937
49,1977,Male,Peter Finch,Network,60,England,9/28/1916,9,28,1916
50,1978,Male,Richard Dreyfuss,The Goodbye Girl,30,New York,10/29/1947,10,29,1947
51,1979,Male,Jon Voight,Coming Home,40,New York,12/29/1938,12,29,1938
52,1980,Male,Dustin Hoffman,Kramer vs. Kramer,42,California,8/8/1937,8,8,1937
53,1981,Male,Robert De Niro,Raging Bull,37,New York,8/17/1943,8,17,1943
54,1982,Male,Henry Fonda,On Golden Pond,76,Nebraska,5/16/1905,5,16,1905
55,1983,Male,Ben Kingsley,Ghandi,39,England,12/31/1943,12,31,1943
56,1984,Male,Robert Duvall,Tender Mercies,52,California,1/5/1931,1,5,1931
57,1985,Male,F. Murray Abraham,Amadeus,45,Pennsylvania,10/24/1939,10,24,1939
58,1986,Male,William Hurt,Kiss of the Spider Woman,35,Washington DC,3/20/1950,3,20,1950
59,1987,Male,Paul Newman,The Color of Money,61,Ohio,1/26/1925,1,26,1925
60,1988,Male,Michael Douglas,Wall Street,43,New Jersey,9/25/1944,9,25,1944
61,1989,Male,Dustin Hoffman,Rain Man,51,California,8/8/1937,8,8,1937
62,1990,Male,Daniel Day-Lewis,My Left Foot,32,England,4/29/1957,4,29,1957
63,1991,Male,Jeremy Irons,Reversal of Fortune,42,Isle of Wight,9/19/1948,9,19,1948
64,1992,Male,Anthony Hopkins,The Silence of the Lambs,54,Wales,12/31/1937,12,31,1937
65,1993,Male,Al Pacino,Scent of a Woman,52,New York,4/25/1940,4,25,1940
66,1994,Male,Tom Hanks,Philadelphia,37,California,7/9/1956,7,9,1956
67,1995,Male,Tom Hanks,Forest Gump,38,California,7/9/1956,7,9,1956
68,1996,Male,Nicolas Cage,Leaving Las Vegas,31,California,1/7/1964,1,7,1964
69,1997,Male,Geoffrey Rush,Shine,45,Australia,7/6/1951,7,6,1951
70,1998,Male,Jack Nicholson,As Good as It Gets,60,New York,4/22/1937,4,22,1937
71,1999,Male,Roberto Benigni,Life is Beautiful,46,Italy,10/27/1952,10,27,1952
72,2000,Male,Kevin Spacey,American Beauty,40,New Jersey,7/26/1959,7,26,1959
73,2001,Male,Russell Crowe,Gladiator,36,New Zealand,4/7/1964,4,7,1964
74,2002,Male,Denzel Washington,Training Day,47,New York,12/28/1954,12,28,1954
75,2003,Male,Adrien Brody,The Pianist,29,New York,4/14/1973,4,14,1973
76,2004,Male,Sean Penn,Mystic River,43,California,8/17/1960,8,17,1960
77,2005,Male,Jamie Foxx,Ray,37,Texas,12/13/1967,12,13,1967
78,2006,Male,Philip Hoffman,Capote,38,New York,7/23/1967,7,23,1967
79,2007,Male,Forest Whitaker,The Last King of Scotland,45,California,7/15/1961,7,15,1961
80,2008,Male,Daniel Day-Lewis,There Will Be Blood,50,England,4/29/1957,4,29,1957
81,2009,Male,Sean Penn,Milk,48,California,8/17/1960,8,17,1960
82,2010,Male,Jeff Bridges,Crazy Heart,60,California,12/4/1949,12,4,1949
83,2011,Male,Colin Firth,The King's Speech,50,England,10/9/1960,10,9,1960
84,2012,Male,Jean Dujardin,The Artist,39,France,7/19/1972,7,19,1972
85,2013,Female,Jennifer Lawrence,Silver Linings Playbook,22,Kentucky,8/15/1990,8,15,1990
86,2014,Female,Cate Blanchett,Blue Jasmine,44,Australia,5/14/1969,5,14,1969
87,2015,Female,Julianne Moore,Still Alice,54,North Carolina,12/3/1960,12,3,1960
88,2016,Female,Brie Larson,Room,26,California,10/1/1989,10,1,1989
89,2017,Female,Emma Stone,La La Land,28,Arizona,11/6/1988,11,6,1988
90,2018,Female,Frances McDormand,Three Billboards Outside of Ebbing Missouri,60,Illinois,6/23/1957,6,23,1957
91,2019,Female,Olivia Colman,The Favourite,44,England,1/30/1974,1,30,1974
85,2013,Male,Daniel Day-Lewis,Lincoln,55,England,4/29/1957,4,29,1957
86,2014,Male,Matthew McConaughey,Dallas Buyers Club,44,Texas,11/4/1969,11,4,1969
87,2015,Male,Eddie Redmayne,The Theory of Everything,32,England,1/6/1982,1,6,1982
88,2016,Male,Leonardo Di Caprio,The Revenant,41,California,11/11/1974,11,11,1974
89,2017,Male,Casey Affleck,Manchester by the Sa,41,Massachusetts,8/12/1975,8,12,1975
90,2018,Male,Gary Oldman,Darkest Hour,59,England,3/21/1958,3,21,1958
91,2019,Male,Rami Malek,Bohemian Rhapsody,37,California,5/12/1981,5,12,1981
